;Tweet;Sentimen;step01;tokens;final_tokens;step02
380;Negara kita emang anomali Eyang, disaat negara lain berpikir utk memotong gaji pejabat dan sepenuhnya menggunakan anggaran yg tidak perlu selama covid, yg ini malah begitu.;0.0;negara kita emang anomali eyang disaat negara lain berpikir utk memotong gaji pejabat dan sepenuhnya menggunakan anggaran yg tidak perlu selama covid yg ini malah begitu;['negara', 'kita', 'emang', 'anomali', 'eyang', 'disaat', 'negara', 'lain', 'berpikir', 'utk', 'memotong', 'gaji', 'pejabat', 'dan', 'sepenuhnya', 'menggunakan', 'anggaran', 'yg', 'tidak', 'perlu', 'selama', 'covid', 'yg', 'ini', 'malah', 'begitu'];['negara', 'kita', 'emang', 'anomali', 'eyang', 'disaat', 'negara', 'lain', 'berpikir', 'utk', 'memotong', 'gaji', 'pejabat', 'dan', 'sepenuhnya', 'menggunakan', 'anggaran', 'yg', 'tidak', 'perlu', 'selama', 'covid', 'yg', 'ini', 'malah', 'begitu'];negara kita emang anomali eyang disaat negara lain berpikir utk memotong gaji pejabat dan sepenuhnya menggunakan anggaran yg tidak perlu selama covid yg ini malah begitu
381;Bila anda minum lahAnda akan terhindar dari covid ,anjir anjirr... !!!;-1.0;bila anda minum lahanda akan terhindar dari covid anjir anjirr;['bila', 'anda', 'minum', 'lahanda', 'akan', 'terhindar', 'dari', 'covid', 'anjir', 'anjirr'];['bila', 'anda', 'minum', 'lahanda', 'akan', 'terhindar', 'dari', 'covid', 'anjir', 'anjirr'];bila anda minum lahanda akan terhindar dari covid anjir anjirr
382;Aksi Warga Tolak Rusunawa Penajam Jadi Tempat Karantina COVID-19 |;-1.0;aksi warga tolak rusunawa penajam jadi tempat karantina covid  ;['aksi', 'warga', 'tolak', 'rusunawa', 'penajam', 'jadi', 'tempat', 'karantina', 'covid'];['aksi', 'warga', 'tolak', 'rusunawa', 'penajam', 'jadi', 'tempat', 'karantina', 'covid'];aksi warga tolak rusunawa penajam jadi tempat karantina covid
383;Gusdurian Peduli Tangerang Raya sedang membuka posko bersama Covid-19 hadapi Corona, untuk itu yg mau berdonasi berupa nominal rupiah dapat melalui rekening yg tertera.Untuk bantuan brupa barang, sandang, ataupun pangan bisa diantar langsung di posko atau hubungi CP;1.0;gusdurian peduli tangerang raya sedang membuka posko bersama covid   hadapi corona untuk itu yg mau berdonasi berupa nominal rupiah dapat melalui rekening yg tertera untuk bantuan brupa barang sandang ataupun pangan bisa diantar langsung di posko atau hubungi cp;['gusdurian', 'peduli', 'tangerang', 'raya', 'sedang', 'membuka', 'posko', 'bersama', 'covid', 'hadapi', 'corona', 'untuk', 'itu', 'yg', 'mau', 'berdonasi', 'berupa', 'nominal', 'rupiah', 'dapat', 'melalui', 'rekening', 'yg', 'tertera', 'untuk', 'bantuan', 'brupa', 'barang', 'sandang', 'ataupun', 'pangan', 'bisa', 'diantar', 'langsung', 'di', 'posko', 'atau', 'hubungi', 'cp'];['gusdurian', 'peduli', 'tangerang', 'raya', 'sedang', 'membuka', 'posko', 'bersama', 'covid', 'hadapi', 'corona', 'untuk', 'itu', 'yg', 'mau', 'berdonasi', 'berupa', 'nominal', 'rupiah', 'dapat', 'melalui', 'rekening', 'yg', 'tertera', 'untuk', 'bantuan', 'brupa', 'barang', 'sandang', 'ataupun', 'pangan', 'bisa', 'diantar', 'langsung', 'di', 'posko', 'atau', 'hubungi', 'cp'];gusdurian peduli tangerang raya sedang membuka posko bersama covid hadapi corona untuk itu yg mau berdonasi berupa nominal rupiah dapat melalui rekening yg tertera untuk bantuan brupa barang sandang ataupun pangan bisa diantar langsung di posko atau hubungi cp
384;"Ada 15 cara menyuruh Covid-19 segera akn pergi ; 4. Jangan lagi ada ""pergaulan bebas"" tanpa batas, selingkuh dan kumpul tanpa ikatan sah. Bukankah Covid-19 telah mendidik kita untuk Sosial Distancing dan Physical Distancing, jaga jarak, bahkan bersalamanpun tdk bersentuhan?.";1.0;ada   cara menyuruh covid   segera akn pergi   jangan lagi ada pergaulan bebas tanpa batas selingkuh dan kumpul tanpa ikatan sah bukankah covid   telah mendidik kita untuk sosial distancing dan physical distancing jaga jarak bahkan bersalamanpun tdk bersentuhan;['ada', 'cara', 'menyuruh', 'covid', 'segera', 'akn', 'pergi', 'jangan', 'lagi', 'ada', 'pergaulan', 'bebas', 'tanpa', 'batas', 'selingkuh', 'dan', 'kumpul', 'tanpa', 'ikatan', 'sah', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'untuk', 'sosial', 'distancing', 'dan', 'physical', 'distancing', 'jaga', 'jarak', 'bahkan', 'bersalamanpun', 'tdk', 'bersentuhan'];['ada', 'cara', 'menyuruh', 'covid', 'segera', 'akn', 'pergi', 'jangan', 'lagi', 'ada', 'pergaulan', 'bebas', 'tanpa', 'batas', 'selingkuh', 'dan', 'kumpul', 'tanpa', 'ikatan', 'sah', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'untuk', 'sosial', 'distancing', 'dan', 'physical', 'distancing', 'jaga', 'jarak', 'bahkan', 'bersalamanpun', 'tdk', 'bersentuhan'];ada cara menyuruh covid segera akn pergi jangan lagi ada pergaulan bebas tanpa batas selingkuh dan kumpul tanpa ikatan sah bukankah covid telah mendidik kita untuk sosial distancing dan physical distancing jaga jarak bahkan bersalamanpun tdk bersentuhan
385;Semoga wababh covid-19 yang sedang melanda segera berlalu. Amiin;1.0;semoga wababh covid   yang sedang melanda segera berlalu amiin;['semoga', 'wababh', 'covid', 'yang', 'sedang', 'melanda', 'segera', 'berlalu', 'amiin'];['semoga', 'wababh', 'covid', 'yang', 'sedang', 'melanda', 'segera', 'berlalu', 'amiin'];semoga wababh covid yang sedang melanda segera berlalu amiin
386;PDP Covid-19 Asal Kota Cilegon Meninggal di RSUD Banten;0.0;pdp covid   asal kota cilegon meninggal di rsud banten;['pdp', 'covid', 'asal', 'kota', 'cilegon', 'meninggal', 'di', 'rsud', 'banten'];['pdp', 'covid', 'asal', 'kota', 'cilegon', 'meninggal', 'di', 'rsud', 'banten'];pdp covid asal kota cilegon meninggal di rsud banten
387;Anggaran Penanganan Covid-19 di Kabupaten Tangerang Tembus Rp240 Miliar;1.0;anggaran penanganan covid   di kabupaten tangerang tembus rp miliar;['anggaran', 'penanganan', 'covid', 'di', 'kabupaten', 'tangerang', 'tembus', 'rp', 'miliar'];['anggaran', 'penanganan', 'covid', 'di', 'kabupaten', 'tangerang', 'tembus', 'rp', 'miliar'];anggaran penanganan covid di kabupaten tangerang tembus rp miliar
388;PDIP mainnya kurang jauh...pulang sore mulu'...ha..ha. Sering sering nyender ditembok tetangga klo gag punya kuota, numpang wifi biar tahu berita dan informasi, adalah yg paling gencar bersuara saat covid 19 mewabah, eh ente bilang cari panggung;-1.0;pdip mainnya kurang jauh pulang sore mulu ha ha sering sering nyender ditembok tetangga klo gag punya kuota numpang wifi biar tahu berita dan informasi adalah yg paling gencar bersuara saat covid   mewabah eh ente bilang cari panggung;['pdip', 'mainnya', 'kurang', 'jauh', 'pulang', 'sore', 'mulu', 'ha', 'ha', 'sering', 'sering', 'nyender', 'ditembok', 'tetangga', 'klo', 'gag', 'punya', 'kuota', 'numpang', 'wifi', 'biar', 'tahu', 'berita', 'dan', 'informasi', 'adalah', 'yg', 'paling', 'gencar', 'bersuara', 'saat', 'covid', 'mewabah', 'eh', 'ente', 'bilang', 'cari', 'panggung'];['pdip', 'mainnya', 'kurang', 'jauh', 'pulang', 'sore', 'mulu', 'ha', 'ha', 'sering', 'sering', 'nyender', 'ditembok', 'tetangga', 'klo', 'gag', 'punya', 'kuota', 'numpang', 'wifi', 'biar', 'tahu', 'berita', 'dan', 'informasi', 'adalah', 'yg', 'paling', 'gencar', 'bersuara', 'saat', 'covid', 'mewabah', 'eh', 'ente', 'bilang', 'cari', 'panggung'];pdip mainnya kurang jauh pulang sore mulu ha ha sering sering nyender ditembok tetangga klo gag punya kuota numpang wifi biar tahu berita dan informasi adalah yg paling gencar bersuara saat covid mewabah eh ente bilang cari panggung
389;sekarang fokus lawan covid 19. kl mo kmpanye tunggu saatnya. sabar ...knp?;1.0;sekarang fokus lawan covid   kl mo kmpanye tunggu saatnya sabar knp;['sekarang', 'fokus', 'lawan', 'covid', 'kl', 'mo', 'kmpanye', 'tunggu', 'saatnya', 'sabar', 'knp'];['sekarang', 'fokus', 'lawan', 'covid', 'kl', 'mo', 'kmpanye', 'tunggu', 'saatnya', 'sabar', 'knp'];sekarang fokus lawan covid kl mo kmpanye tunggu saatnya sabar knp
390;30.000 Lebih Narapidana Bebas di Tengah Wabah COVID-19, Termasuk Koruptor???;-1.0;    lebih narapidana bebas di tengah wabah covid   termasuk koruptor;['lebih', 'narapidana', 'bebas', 'di', 'tengah', 'wabah', 'covid', 'termasuk', 'koruptor'];['lebih', 'narapidana', 'bebas', 'di', 'tengah', 'wabah', 'covid', 'termasuk', 'koruptor'];lebih narapidana bebas di tengah wabah covid termasuk koruptor
391;Ceritain dampak covid terhadap perekonomian Indonesia dan dampak bagi Perbankan dan upaya yg dilakukan pemerintah apa aja;0.0;ceritain dampak covid terhadap perekonomian indonesia dan dampak bagi perbankan dan upaya yg dilakukan pemerintah apa aja;['ceritain', 'dampak', 'covid', 'terhadap', 'perekonomian', 'indonesia', 'dan', 'dampak', 'bagi', 'perbankan', 'dan', 'upaya', 'yg', 'dilakukan', 'pemerintah', 'apa', 'aja'];['ceritain', 'dampak', 'covid', 'terhadap', 'perekonomian', 'indonesia', 'dan', 'dampak', 'bagi', 'perbankan', 'dan', 'upaya', 'yg', 'dilakukan', 'pemerintah', 'apa', 'aja'];ceritain dampak covid terhadap perekonomian indonesia dan dampak bagi perbankan dan upaya yg dilakukan pemerintah apa aja
392;Ya begitulah, doakan saja semoga yg lain terhindar dari covid, miris memang;1.0;ya begitulah doakan saja semoga yg lain terhindar dari covid miris memang;['ya', 'begitulah', 'doakan', 'saja', 'semoga', 'yg', 'lain', 'terhindar', 'dari', 'covid', 'miris', 'memang'];['ya', 'begitulah', 'doakan', 'saja', 'semoga', 'yg', 'lain', 'terhindar', 'dari', 'covid', 'miris', 'memang'];ya begitulah doakan saja semoga yg lain terhindar dari covid miris memang
393;PRU 15!Rakyat mesti menolakahli politik yg suka mengganggu usaha KKM membenteras wabak Covid 19.;-1.0;pru   rakyat mesti menolakahli politik yg suka mengganggu usaha kkm membenteras wabak covid  ;['pru', 'rakyat', 'mesti', 'menolakahli', 'politik', 'yg', 'suka', 'mengganggu', 'usaha', 'kkm', 'membenteras', 'wabak', 'covid'];['pru', 'rakyat', 'mesti', 'menolakahli', 'politik', 'yg', 'suka', 'mengganggu', 'usaha', 'kkm', 'membenteras', 'wabak', 'covid'];pru rakyat mesti menolakahli politik yg suka mengganggu usaha kkm membenteras wabak covid
394;Kaur pemerintahan Desa Hidayat Himbau Warga menunda Mudik untuk cegah covid 19;1.0;kaur pemerintahan desa hidayat himbau warga menunda mudik untuk cegah covid  ;['kaur', 'pemerintahan', 'desa', 'hidayat', 'himbau', 'warga', 'menunda', 'mudik', 'untuk', 'cegah', 'covid'];['kaur', 'pemerintahan', 'desa', 'hidayat', 'himbau', 'warga', 'menunda', 'mudik', 'untuk', 'cegah', 'covid'];kaur pemerintahan desa hidayat himbau warga menunda mudik untuk cegah covid
395;btw ini beneran suspek covid casenya ya?;0.0;btw ini beneran suspek covid casenya ya;['btw', 'ini', 'beneran', 'suspek', 'covid', 'casenya', 'ya'];['btw', 'ini', 'beneran', 'suspek', 'covid', 'casenya', 'ya'];btw ini beneran suspek covid casenya ya
396;Saat ini pemerintah dan kita semua harus konsentrasi menyiapkan ketahanan masyarakat dalam menghadapi Covid19 dan dampak ekosisnya. Begini Penjelasan Muhaimin Terkait Timwas Covid-19 DPR RI ;1.0;saat ini pemerintah dan kita semua harus konsentrasi menyiapkan ketahanan masyarakat dalam menghadapi covid dan dampak ekosisnya begini penjelasan muhaimin terkait timwas covid   dpr ri;['saat', 'ini', 'pemerintah', 'dan', 'kita', 'semua', 'harus', 'konsentrasi', 'menyiapkan', 'ketahanan', 'masyarakat', 'dalam', 'menghadapi', 'covid', 'dan', 'dampak', 'ekosisnya', 'begini', 'penjelasan', 'muhaimin', 'terkait', 'timwas', 'covid', 'dpr', 'ri'];['saat', 'ini', 'pemerintah', 'dan', 'kita', 'semua', 'harus', 'konsentrasi', 'menyiapkan', 'ketahanan', 'masyarakat', 'dalam', 'menghadapi', 'covid', 'dan', 'dampak', 'ekosisnya', 'begini', 'penjelasan', 'muhaimin', 'terkait', 'timwas', 'covid', 'dpr', 'ri'];saat ini pemerintah dan kita semua harus konsentrasi menyiapkan ketahanan masyarakat dalam menghadapi covid dan dampak ekosisnya begini penjelasan muhaimin terkait timwas covid dpr ri
397;Cepat pergi Corona covid 19, aku rindu aktivitas seperti biasa. Bisa pergi kemanapun tanpa ngerasa cemas.;1.0;cepat pergi corona covid   aku rindu aktivitas seperti biasa bisa pergi kemanapun tanpa ngerasa cemas;['cepat', 'pergi', 'corona', 'covid', 'aku', 'rindu', 'aktivitas', 'seperti', 'biasa', 'bisa', 'pergi', 'kemanapun', 'tanpa', 'ngerasa', 'cemas'];['cepat', 'pergi', 'corona', 'covid', 'aku', 'rindu', 'aktivitas', 'seperti', 'biasa', 'bisa', 'pergi', 'kemanapun', 'tanpa', 'ngerasa', 'cemas'];cepat pergi corona covid aku rindu aktivitas seperti biasa bisa pergi kemanapun tanpa ngerasa cemas
398;Apa yang dilakukan oleh bunda maia lebih nyata dengan tindakan untuk memerangi Covid 19 dibandingkan dengan Roy Suryo. Jadi biarkan masyarakat yang menilai siapa bunda maia dan siapa Roy Suryo. Semudah itu kan menilai?;-1.0;apa yang dilakukan oleh bunda maia lebih nyata dengan tindakan untuk memerangi covid   dibandingkan dengan roy suryo jadi biarkan masyarakat yang menilai siapa bunda maia dan siapa roy suryo semudah itu kan menilai;['apa', 'yang', 'dilakukan', 'oleh', 'bunda', 'maia', 'lebih', 'nyata', 'dengan', 'tindakan', 'untuk', 'memerangi', 'covid', 'dibandingkan', 'dengan', 'roy', 'suryo', 'jadi', 'biarkan', 'masyarakat', 'yang', 'menilai', 'siapa', 'bunda', 'maia', 'dan', 'siapa', 'roy', 'suryo', 'semudah', 'itu', 'kan', 'menilai'];['apa', 'yang', 'dilakukan', 'oleh', 'bunda', 'maia', 'lebih', 'nyata', 'dengan', 'tindakan', 'untuk', 'memerangi', 'covid', 'dibandingkan', 'dengan', 'roy', 'suryo', 'jadi', 'biarkan', 'masyarakat', 'yang', 'menilai', 'siapa', 'bunda', 'maia', 'dan', 'siapa', 'roy', 'suryo', 'semudah', 'itu', 'kan', 'menilai'];apa yang dilakukan oleh bunda maia lebih nyata dengan tindakan untuk memerangi covid dibandingkan dengan roy suryo jadi biarkan masyarakat yang menilai siapa bunda maia dan siapa roy suryo semudah itu kan menilai
399;Kalo penyebabnya non covid kalo gasalah boleh dihadiri org dibawah 20 orang Ada di poster sosialisasinya kmrn cm ak gas sevvv;0.0;kalo penyebabnya non covid kalo gasalah boleh dihadiri org dibawah   orang ada di poster sosialisasinya kmrn cm ak gas sevvv;['kalo', 'penyebabnya', 'non', 'covid', 'kalo', 'gasalah', 'boleh', 'dihadiri', 'org', 'dibawah', 'orang', 'ada', 'di', 'poster', 'sosialisasinya', 'kmrn', 'cm', 'ak', 'gas', 'sevvv'];['kalo', 'penyebabnya', 'non', 'covid', 'kalo', 'gasalah', 'boleh', 'dihadiri', 'org', 'dibawah', 'orang', 'ada', 'di', 'poster', 'sosialisasinya', 'kmrn', 'cm', 'ak', 'gas', 'sevvv'];kalo penyebabnya non covid kalo gasalah boleh dihadiri org dibawah orang ada di poster sosialisasinya kmrn cm ak gas sevvv
400;MenPAN RB Tjahjo Kumolo menerbitkan Surat Edaran atau SE tertanggal 9 April 2020, membatasi cuti PNS dan PPPK selama ada wabah virus corona COVID-19.;1.0;menpan rb tjahjo kumolo menerbitkan surat edaran atau se tertanggal <date> membatasi cuti pns dan pppk selama ada wabah virus corona covid  ;['menpan', 'rb', 'tjahjo', 'kumolo', 'menerbitkan', 'surat', 'edaran', 'atau', 'se', 'tertanggal', '<', 'date', '>', 'membatasi', 'cuti', 'pns', 'dan', 'pppk', 'selama', 'ada', 'wabah', 'virus', 'corona', 'covid'];['menpan', 'rb', 'tjahjo', 'kumolo', 'menerbitkan', 'surat', 'edaran', 'atau', 'se', 'tertanggal', '<', 'date', '>', 'membatasi', 'cuti', 'pns', 'dan', 'pppk', 'selama', 'ada', 'wabah', 'virus', 'corona', 'covid'];menpan rb tjahjo kumolo menerbitkan surat edaran atau se tertanggal < date > membatasi cuti pns dan pppk selama ada wabah virus corona covid
401;Mobil Luar Kota Bebas Masuk Sumenep di Tengah Covid-19, Kadinkes: Bukan Tugas Dinas Kesehatan;-1.0;mobil luar kota bebas masuk sumenep di tengah covid   kadinkes bukan tugas dinas kesehatan;['mobil', 'luar', 'kota', 'bebas', 'masuk', 'sumenep', 'di', 'tengah', 'covid', 'kadinkes', 'bukan', 'tugas', 'dinas', 'kesehatan'];['mobil', 'luar', 'kota', 'bebas', 'masuk', 'sumenep', 'di', 'tengah', 'covid', 'kadinkes', 'bukan', 'tugas', 'dinas', 'kesehatan'];mobil luar kota bebas masuk sumenep di tengah covid kadinkes bukan tugas dinas kesehatan
402;Buka fb trus liat berita nya si idn times lgsg shocked berat. Secara si doi lg di daerah situ trus pake ada berita provinsi lala 1org positif covid. Tolongin.;0.0;buka fb trus liat berita nya si idn times lgsg shocked berat secara si doi lg di daerah situ trus pake ada berita provinsi lala  org positif covid tolongin;['buka', 'fb', 'trus', 'liat', 'berita', 'nya', 'si', 'idn', 'times', 'lgsg', 'shocked', 'berat', 'secara', 'si', 'doi', 'lg', 'di', 'daerah', 'situ', 'trus', 'pake', 'ada', 'berita', 'provinsi', 'lala', 'org', 'positif', 'covid', 'tolongin'];['buka', 'fb', 'trus', 'liat', 'berita', 'nya', 'si', 'idn', 'times', 'lgsg', 'shocked', 'berat', 'secara', 'si', 'doi', 'lg', 'di', 'daerah', 'situ', 'trus', 'pake', 'ada', 'berita', 'provinsi', 'lala', 'org', 'positif', 'covid', 'tolongin'];buka fb trus liat berita nya si idn times lgsg shocked berat secara si doi lg di daerah situ trus pake ada berita provinsi lala org positif covid tolongin
403;Selamat pagi... Sahabat-Sahabatku semua dimanapun berada...Sahabat..., di hari yang penuh Kepanikan Ketakutan Kekhawatiran Kecemasa nKegelisahan ini dengan Wabah Pandemi Corona Covid-19 ini, mari kita sama-sama;1.0;selamat pagi sahabat sahabatku semua dimanapun berada sahabat di hari yang penuh kepanikan ketakutan kekhawatiran kecemasa nkegelisahan ini dengan wabah pandemi corona covid   ini mari kita sama sama;['selamat', 'pagi', 'sahabat', 'sahabatku', 'semua', 'dimanapun', 'berada', 'sahabat', 'di', 'hari', 'yang', 'penuh', 'kepanikan', 'ketakutan', 'kekhawatiran', 'kecemasa', 'nkegelisahan', 'ini', 'dengan', 'wabah', 'pandemi', 'corona', 'covid', 'ini', 'mari', 'kita', 'sama', 'sama'];['selamat', 'pagi', 'sahabat', 'sahabatku', 'semua', 'dimanapun', 'berada', 'sahabat', 'di', 'hari', 'yang', 'penuh', 'kepanikan', 'ketakutan', 'kekhawatiran', 'kecemasa', 'nkegelisahan', 'ini', 'dengan', 'wabah', 'pandemi', 'corona', 'covid', 'ini', 'mari', 'kita', 'sama', 'sama'];selamat pagi sahabat sahabatku semua dimanapun berada sahabat di hari yang penuh kepanikan ketakutan kekhawatiran kecemasa nkegelisahan ini dengan wabah pandemi corona covid ini mari kita sama sama
404;Enjoy bgt, tmnnya pada asik, matkul nya pun ga serumit yg dibayangkan, cuma ya ada 1/2 matkul yg nyebelin naudzubillah di semster ini grgr covid wkwk;0.0;enjoy bgt tmnnya pada asik matkul nya pun ga serumit yg dibayangkan cuma ya ada   matkul yg nyebelin naudzubillah di semster ini grgr covid wkwk;['enjoy', 'bgt', 'tmnnya', 'pada', 'asik', 'matkul', 'nya', 'pun', 'ga', 'serumit', 'yg', 'dibayangkan', 'cuma', 'ya', 'ada', 'matkul', 'yg', 'nyebelin', 'naudzubillah', 'di', 'semster', 'ini', 'grgr', 'covid', 'wkwk'];['enjoy', 'bgt', 'tmnnya', 'pada', 'asik', 'matkul', 'nya', 'pun', 'ga', 'serumit', 'yg', 'dibayangkan', 'cuma', 'ya', 'ada', 'matkul', 'yg', 'nyebelin', 'naudzubillah', 'di', 'semster', 'ini', 'grgr', 'covid', 'wkwk'];enjoy bgt tmnnya pada asik matkul nya pun ga serumit yg dibayangkan cuma ya ada matkul yg nyebelin naudzubillah di semster ini grgr covid wkwk
405;CEGAH VIRUS CORONAMenindaklanjuti Maklumat Kapolri dan 8 Perintah Kapolri dalam rangka mencegah dan mengantisipasi penyebaran COVID-19 atau VIRUS CORONA, Polsek Banjarnegara giatkan BLP dan berikan himbauan;1.0;cegah virus coronamenindaklanjuti maklumat kapolri dan   perintah kapolri dalam rangka mencegah dan mengantisipasi penyebaran covid   atau virus corona polsek banjarnegara giatkan blp dan berikan himbauan;['cegah', 'virus', 'coronamenindaklanjuti', 'maklumat', 'kapolri', 'dan', 'perintah', 'kapolri', 'dalam', 'rangka', 'mencegah', 'dan', 'mengantisipasi', 'penyebaran', 'covid', 'atau', 'virus', 'corona', 'polsek', 'banjarnegara', 'giatkan', 'blp', 'dan', 'berikan', 'himbauan'];['cegah', 'virus', 'coronamenindaklanjuti', 'maklumat', 'kapolri', 'dan', 'perintah', 'kapolri', 'dalam', 'rangka', 'mencegah', 'dan', 'mengantisipasi', 'penyebaran', 'covid', 'atau', 'virus', 'corona', 'polsek', 'banjarnegara', 'giatkan', 'blp', 'dan', 'berikan', 'himbauan'];cegah virus coronamenindaklanjuti maklumat kapolri dan perintah kapolri dalam rangka mencegah dan mengantisipasi penyebaran covid atau virus corona polsek banjarnegara giatkan blp dan berikan himbauan
406;COVID-19 masih mewabah, peniadaan salat Jumat di Padang diperpanjang sampai 21 April;1.0;covid   masih mewabah peniadaan salat jumat di padang diperpanjang sampai <date>;['covid', 'masih', 'mewabah', 'peniadaan', 'salat', 'jumat', 'di', 'padang', 'diperpanjang', 'sampai', '<', 'date', '>'];['covid', 'masih', 'mewabah', 'peniadaan', 'salat', 'jumat', 'di', 'padang', 'diperpanjang', 'sampai', '<', 'date', '>'];covid masih mewabah peniadaan salat jumat di padang diperpanjang sampai < date >
407;Tim medis udah bisa beristirahat dan melepas rasa lelah dirumah, kumpul sama keluarga lagi. Percuma juga merawat yg terinfeksi covid-19, tokh mereka cuma peduli sama penyanyi dan lupa sama diri sendiri.;-1.0;tim medis udah bisa beristirahat dan melepas rasa lelah dirumah kumpul sama keluarga lagi percuma juga merawat yg terinfeksi covid   tokh mereka cuma peduli sama penyanyi dan lupa sama diri sendiri;['tim', 'medis', 'udah', 'bisa', 'beristirahat', 'dan', 'melepas', 'rasa', 'lelah', 'dirumah', 'kumpul', 'sama', 'keluarga', 'lagi', 'percuma', 'juga', 'merawat', 'yg', 'terinfeksi', 'covid', 'tokh', 'mereka', 'cuma', 'peduli', 'sama', 'penyanyi', 'dan', 'lupa', 'sama', 'diri', 'sendiri'];['tim', 'medis', 'udah', 'bisa', 'beristirahat', 'dan', 'melepas', 'rasa', 'lelah', 'dirumah', 'kumpul', 'sama', 'keluarga', 'lagi', 'percuma', 'juga', 'merawat', 'yg', 'terinfeksi', 'covid', 'tokh', 'mereka', 'cuma', 'peduli', 'sama', 'penyanyi', 'dan', 'lupa', 'sama', 'diri', 'sendiri'];tim medis udah bisa beristirahat dan melepas rasa lelah dirumah kumpul sama keluarga lagi percuma juga merawat yg terinfeksi covid tokh mereka cuma peduli sama penyanyi dan lupa sama diri sendiri
408;Update Terbaru Peta Persebaran Covid-19 di Kabupaten Sidoarjo;0.0;update terbaru peta persebaran covid   di kabupaten sidoarjo;['update', 'terbaru', 'peta', 'persebaran', 'covid', 'di', 'kabupaten', 'sidoarjo'];['update', 'terbaru', 'peta', 'persebaran', 'covid', 'di', 'kabupaten', 'sidoarjo'];update terbaru peta persebaran covid di kabupaten sidoarjo
409;Bila hidup berpandu pd agama, adab serta akhlaknya akn jd indah.ramai marah pd gol tabligh krn spike kes covid naik berpunca dr mrk.Tp mrk juga ialah mangsa. Patient 0 mungkin tiada kena mengena dgn mrk. Bukan semua gol mrk yg degil utk uat saringan, kebanyakan besar akur;0.0;bila hidup berpandu pd agama adab serta akhlaknya akn jd indah ramai marah pd gol tabligh krn spike kes covid naik berpunca dr mrk tp mrk juga ialah mangsa patient   mungkin tiada kena mengena dgn mrk bukan semua gol mrk yg degil utk uat saringan kebanyakan besar akur;['bila', 'hidup', 'berpandu', 'pd', 'agama', 'adab', 'serta', 'akhlaknya', 'akn', 'jd', 'indah', 'ramai', 'marah', 'pd', 'gol', 'tabligh', 'krn', 'spike', 'kes', 'covid', 'naik', 'berpunca', 'dr', 'mrk', 'tp', 'mrk', 'juga', 'ialah', 'mangsa', 'patient', 'mungkin', 'tiada', 'kena', 'mengena', 'dgn', 'mrk', 'bukan', 'semua', 'gol', 'mrk', 'yg', 'degil', 'utk', 'uat', 'saringan', 'kebanyakan', 'besar', 'akur'];['bila', 'hidup', 'berpandu', 'pd', 'agama', 'adab', 'serta', 'akhlaknya', 'akn', 'jd', 'indah', 'ramai', 'marah', 'pd', 'gol', 'tabligh', 'krn', 'spike', 'kes', 'covid', 'naik', 'berpunca', 'dr', 'mrk', 'tp', 'mrk', 'juga', 'ialah', 'mangsa', 'patient', 'mungkin', 'tiada', 'kena', 'mengena', 'dgn', 'mrk', 'bukan', 'semua', 'gol', 'mrk', 'yg', 'degil', 'utk', 'uat', 'saringan', 'kebanyakan', 'besar', 'akur'];bila hidup berpandu pd agama adab serta akhlaknya akn jd indah ramai marah pd gol tabligh krn spike kes covid naik berpunca dr mrk tp mrk juga ialah mangsa patient mungkin tiada kena mengena dgn mrk bukan semua gol mrk yg degil utk uat saringan kebanyakan besar akur
410;Menurut jurnal terbaru, International Journal of Infectious Diseases, Infeksi COVID 19 juga bisa bermanifestasi ke meningitis dengan gejala nyeri kepala hebat hingga kesadaran menurun, tidak ditemukan virus pada nasofaring maupun orofaring, melainkan di CSF (LCS);1.0;menurut jurnal terbaru international journal of infectious diseases infeksi covid   juga bisa bermanifestasi ke meningitis dengan gejala nyeri kepala hebat hingga kesadaran menurun tidak ditemukan virus pada nasofaring maupun orofaring melainkan di csf lcs;['menurut', 'jurnal', 'terbaru', 'international', 'journal', 'of', 'infectious', 'diseases', 'infeksi', 'covid', 'juga', 'bisa', 'bermanifestasi', 'ke', 'meningitis', 'dengan', 'gejala', 'nyeri', 'kepala', 'hebat', 'hingga', 'kesadaran', 'menurun', 'tidak', 'ditemukan', 'virus', 'pada', 'nasofaring', 'maupun', 'orofaring', 'melainkan', 'di', 'csf', 'lcs'];['menurut', 'jurnal', 'terbaru', 'international', 'journal', 'of', 'infectious', 'diseases', 'infeksi', 'covid', 'juga', 'bisa', 'bermanifestasi', 'ke', 'meningitis', 'dengan', 'gejala', 'nyeri', 'kepala', 'hebat', 'hingga', 'kesadaran', 'menurun', 'tidak', 'ditemukan', 'virus', 'pada', 'nasofaring', 'maupun', 'orofaring', 'melainkan', 'di', 'csf', 'lcs'];menurut jurnal terbaru international journal of infectious diseases infeksi covid juga bisa bermanifestasi ke meningitis dengan gejala nyeri kepala hebat hingga kesadaran menurun tidak ditemukan virus pada nasofaring maupun orofaring melainkan di csf lcs
